# k =   0.500000   0.750000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.39484624E+00  -6.90922530E+00   4.85620938E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.42188518E-01   7.50443808E-01  -1.91744709E-01
#    Nb          CH(vbm)          CH(cbm)             diff
    267  -6.33703584E+00  -6.06650388E+00   2.70531957E-01
    268  -6.34063307E+00  -6.06946600E+00   2.71167064E-01
    269  -6.34396475E+00  -6.07241749E+00   2.71547261E-01
    270  -6.34797011E+00  -6.07539885E+00   2.72571261E-01
    271  -6.35123390E+00  -6.07827726E+00   2.72956643E-01
    272  -6.35479510E+00  -6.08092799E+00   2.73867113E-01
    273  -6.35790880E+00  -6.08365291E+00   2.74255893E-01
    274  -6.36190327E+00  -6.08662084E+00   2.75282432E-01
    275  -6.36604709E+00  -6.08995434E+00   2.76092749E-01
    276  -6.36998092E+00  -6.09297444E+00   2.77006480E-01
    277  -6.37374253E+00  -6.09578107E+00   2.77961460E-01
    278  -6.37817699E+00  -6.09853786E+00   2.79639138E-01
    279  -6.38203334E+00  -6.10151229E+00   2.80521051E-01
    280  -6.38593094E+00  -6.10410865E+00   2.81822293E-01
    281  -6.38976467E+00  -6.10649089E+00   2.83273784E-01
    282  -6.39363507E+00  -6.10924524E+00   2.84389828E-01
    283  -6.39711786E+00  -6.11214520E+00   2.84972658E-01
    284  -6.40106469E+00  -6.11483252E+00   2.86232172E-01
    285  -6.40440053E+00  -6.11754769E+00   2.86852838E-01
    286  -6.40788743E+00  -6.12053114E+00   2.87356291E-01
    287  -6.41139780E+00  -6.12338058E+00   2.88017213E-01
    288  -6.41484872E+00  -6.12625171E+00   2.88597012E-01
    289  -6.41869539E+00  -6.12900422E+00   2.89691170E-01
    290  -6.42185202E+00  -6.13160269E+00   2.90249334E-01
    291  -6.42510360E+00  -6.13431884E+00   2.90784763E-01
    292  -6.42809852E+00  -6.13713604E+00   2.90962482E-01
    293  -6.43209681E+00  -6.13973137E+00   2.92365437E-01
    294  -6.43524014E+00  -6.14276104E+00   2.92479101E-01
    295  -6.43835015E+00  -6.14568663E+00   2.92663517E-01
    296  -6.44122051E+00  -6.14802178E+00   2.93198730E-01
    297  -6.44405759E+00  -6.15046849E+00   2.93589100E-01
    298  -6.44672896E+00  -6.15293726E+00   2.93791698E-01
    299  -6.44974328E+00  -6.15603297E+00   2.93710308E-01
    300  -6.45265772E+00  -6.15878150E+00   2.93876228E-01
# k =   0.500000   0.750000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.46875573E+00  -6.92462665E+00   5.44129082E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.60092869E-01   7.44840825E-01  -2.15252044E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.38318481E-04  -1.51905262E-03  -7.80734135E-04
      2  -1.46922553E-03  -3.02752415E-03  -1.55829862E-03
      3  -2.36113865E-03  -4.58961713E-03  -2.22847849E-03
      4  -3.24087157E-03  -6.13979288E-03  -2.89892131E-03
      5  -4.93296513E-02  -3.41432156E-02   1.51864357E-02
      6  -8.61277164E-02  -7.55808690E-02   1.05468475E-02
      7  -9.24106695E-02  -2.03416034E-01  -1.11005364E-01
      8  -9.85513459E-02  -3.09496267E-01  -2.10944921E-01
      9  -1.02371124E-01  -4.35387204E-01  -3.33016080E-01
     10  -1.09266814E-01  -5.60715149E-01  -4.51448335E-01
